log2_x,count,native_sin,native_cos,std_sin,std_cos
38,16777216,6.366197619e-01,9.999999968e-01,1.385563234e-08,1.385362107e-08
39,16777216,6.366198501e-01,9.999999194e-01,1.384985139e-08,1.384787198e-08
40,16777216,6.366198190e-01,1.000000166e+00,1.385328500e-08,1.385928526e-08
41,16777216,6.366200949e-01,9.999999547e-01,1.385831787e-08,1.385063568e-08
42,16777216,6.366197195e-01,1.000000791e+00,1.385062223e-08,1.385563120e-08
43,16777216,6.366197342e-01,9.999999067e-01,1.385322604e-08,1.385546195e-08
44,16777216,6.366197292e-01,9.999999307e-01,1.385921746e-08,1.385528509e-08
45,16777216,6.366197254e-01,9.999999356e-01,1.385086703e-08,1.385523688e-08
46,16777216,6.366197996e-01,9.999999569e-01,1.385461803e-08,1.385180454e-08
47,16777216,6.366197707e-01,1.000000143e+00,1.385951040e-08,1.384987068e-08
48,16777216,6.366197763e-01,1.000000005e+00,1.385326419e-08,1.385465389e-08
49,16777216,6.366197736e-01,9.999999910e-01,1.385329727e-08,1.385821195e-08
50,16777216,6.366197583e-01,1.000000025e+00,1.385557306e-08,1.385877688e-08
51,16777216,6.366198048e-01,9.999999415e-01,1.385547377e-08,1.385767987e-08
52,16777216,6.366198941e-01,1.000000015e+00,1.386417077e-08,1.385484416e-08
53,16777216,6.366197256e-01,1.000000306e+00,1.385446699e-08,1.384894264e-08
54,16777216,6.366198001e-01,9.999998616e-01,1.385345158e-08,1.386046176e-08
55,16777216,6.366198321e-01,1.000000047e+00,1.385799643e-08,1.385460509e-08
56,16777216,6.366197888e-01,1.000000130e+00,1.385799271e-08,1.385607954e-08
57,16777216,6.366197585e-01,1.000000026e+00,1.385896984e-08,1.385938977e-08
58,16777216,6.366198157e-01,9.999999418e-01,1.385378405e-08,1.385060307e-08
59,16777216,6.366197490e-01,1.000000116e+00,1.385691767e-08,1.385659691e-08
60,16777216,6.366196599e-01,9.999999926e-01,1.385530681e-08,1.385080892e-08
61,16777216,6.366198387e-01,9.999997064e-01,1.385093813e-08,1.385682926e-08
62,16777216,6.366197532e-01,1.000000168e+00,1.385343156e-08,1.385469071e-08
63,16777216,6.366198291e-01,9.999999274e-01,1.385544190e-08,1.385724124e-08
64,16777216,6.366197708e-01,1.000000129e+00,1.385821958e-08,1.385817902e-08
65,16777216,6.366197709e-01,1.000000002e+00,1.385860237e-08,1.385718177e-08
66,16777216,6.366197988e-01,9.999999986e-01,1.385542543e-08,1.385317902e-08
67,16777216,6.366197842e-01,1.000000050e+00,1.386004067e-08,1.385997452e-08
68,16777216,6.366197586e-01,1.000000033e+00,1.385196104e-08,1.385763542e-08
