x_center,weight,native_sin,native_cos,std_sin,std_cos
-2.471243049,3.067970276e-03,3.740406345e-01,4.204073627e-01,3.877766370e-01,2.634029714e-01
-2.468175088,3.067970276e-03,5.458430749e-01,3.912670804e-01,3.864608911e-01,2.634405945e-01
-2.465107126,3.067970276e-03,4.033618316e-01,3.454182560e-01,3.856923009e-01,2.629576895e-01
-2.462039165,3.067970276e-03,4.261677126e-01,6.049728678e-01,3.859585346e-01,2.642687559e-01
-2.458971203,3.067970276e-03,3.254415730e-01,3.874593943e-01,3.829160240e-01,2.642596186e-01
-2.455903241,3.067970276e-03,5.439735811e-01,3.189350094e-01,3.815026144e-01,2.644553267e-01
-2.452835280,3.067970276e-03,5.412833509e-01,3.752034762e-01,3.799258214e-01,2.614126287e-01
-2.449767318,3.067970276e-03,3.095106000e-01,3.615541566e-01,3.776619558e-01,2.614949834e-01
-2.446699357,3.067970276e-03,3.232929243e-01,5.769846088e-01,3.770915506e-01,2.618523578e-01
-2.443631395,3.067970276e-03,2.924504384e-01,4.469462486e-01,3.743581378e-01,2.619574552e-01
-2.440563434,3.067970276e-03,4.341368265e-01,2.967868822e-01,3.726621073e-01,2.624032200e-01
-2.437495472,3.067731857e-03,6.956896771e-01,3.717061878e-01,3.710260616e-01,2.620341350e-01
-2.434427510,3.067970276e-03,3.842154555e-01,4.017472716e-01,3.707626862e-01,2.623713216e-01
-2.431359549,3.067970276e-03,3.488403160e-01,6.039450912e-01,3.685197688e-01,2.635270925e-01
-2.428291587,3.067970276e-03,2.852919877e-01,3.159328943e-01,3.678890446e-01,2.629674671e-01
-2.425223626,3.067970276e-03,5.034607051e-01,3.599490867e-01,3.653954080e-01,2.622620872e-01
-2.422155664,3.067970276e-03,7.433685644e-01,4.046367300e-01,3.642967476e-01,2.637059192e-01
-2.419087702,3.067970276e-03,3.397079224e-01,4.001978096e-01,3.643318163e-01,2.637960561e-01
-2.416019741,3.067970276e-03,3.279007617e-01,6.220681718e-01,3.611766626e-01,2.640628689e-01
-2.412951779,3.067970276e-03,3.953418384e-01,3.230846339e-01,3.589861845e-01,2.655380516e-01
-2.409883818,3.067970276e-03,3.073903052e-01,4.779616038e-01,3.575692466e-01,2.643935513e-01
-2.406815856,3.067970276e-03,5.363187798e-01,5.425651925e-01,3.555891220e-01,2.649831387e-01
-2.403747895,3.067970276e-03,4.519508236e-01,4.565607496e-01,3.535834827e-01,2.654305315e-01
-2.400679933,3.067970276e-03,4.816759825e-01,5.301538985e-01,3.524321861e-01,2.660331380e-01
-2.397611971,3.067970276e-03,5.265353248e-01,4.084711758e-01,3.503740875e-01,2.660055734e-01
-2.394544010,3.067970276e-03,3.301185870e-01,3.657001542e-01,3.505337009e-01,2.664308919e-01
-2.391476048,3.067970276e-03,4.257934965e-01,4.560557626e-01,3.459034307e-01,2.666019046e-01
